herd_name,herd_rank_2024,herd_pct_2024,herd_rd_2024_000
Haverford C.,493,47.29,3993
New Mexico Highlands U.,494,47.18,3972
National Louis U.,495,47.07,3942
Keck Graduate Institute,496,46.96,3916
Fayetteville State U.,497,46.86,3901
East Stroudsburg U. Pennsylvania,498,46.75,3900
Alabama State U.,499,46.64,3891
Harvey Mudd C.,500,46.54,3889
Whitman C.,501,46.43,3876
Des Moines U.,502,46.32,3860
Lake Superior State U.,503,46.21,3796
"California State U., Channel Islands",504,46.11,3791
"U. Nebraska, Kearney",505,46.0,3784
"Purdue U., Fort Wayne ",506,45.89,3780
[3],507,45.79,3776
Hawai'i Pacific U.,508,45.68,3775
Universidad Central del Caribe,509,45.57,3764
"State U. New York, C. Optometry",510,45.46,3731
Vassar C.,511,45.36,3730
Christopher Newport U.,512,45.25,3679
Bowie State U.,513,45.14,3664
U. Wisconsin-Eau Claire,514,45.04,3632
Roger Williams U.,515,44.93,3630
Hamilton C.,516,44.82,3602
"U. Texas, The, Tyler",517,44.71,3580
Murray State U.,518,44.61,3576
"New England C. Optometry, The",519,44.5,3552
U. Incarnate Word,520,44.39,3466
Middlebury C.,521,44.29,3462
Saginaw Valley State U.,522,44.18,3459
Winthrop U.,523,44.07,3443
Tougaloo C.,524,43.96,3425
National Defense U.,525,43.86,3406
U. Wisconsin-Oshkosh,526,43.75,3401
Fisk U.,527,43.64,3348
Bowdoin C.,528,43.54,3318
Azusa Pacific U.,529,43.43,3317
Pace U.,530,43.32,3271
Troy U.,531,43.21,3242
Dillard U.,532,43.11,3235
Northern Kentucky U.,533,43.0,3231
State U. New York at Oswego,534,42.89,3142
"Minnesota State U., Mankato",535,42.79,3090
Furman U.,536,42.68,3080
U. Central Arkansas,537,42.57,3068
Milwaukee School of Engineering,538,42.46,3049
U. Houston-Clear Lake,539,42.36,3033
U. Wisconsin-La Crosse,540,42.25,3001
U. Houston-Downtown,541,42.14,2997
"CUNY, New York City C. Technology",542,42.04,2976
Blackfeet Community C.,543,41.93,2961
Elon U.,544,41.82,2957
U. Health Sciences and Pharmacy in St. Louis,545,41.71,2940
U. Richmond,546,41.61,2924
Eastern Washington U.,547,41.5,2857
"U. Louisiana, Monroe",548,41.39,2852
Lewis and Clark C.,549,41.29,2847
"C. New Jersey, The",550,41.18,2844
Merrimack C.,551,41.07,2824
U. Wisconsin-River Falls,552,40.96,2770
Northeastern Illinois U.,553,40.86,2764
St. Lawrence U.,554,40.75,2759
Kettering U.,555,40.64,2757
"U. South Carolina, Upstate",556,40.54,2749
Skidmore C.,557,40.43,2723
Central Washington U.,558,40.32,2701
Marymount U.,559,40.21,2691
"CUNY, system office",560,40.11,2688
Chicago State U.,561,40.0,2684
Youngstown State U.,562,39.89,2682
La Sierra U.,563,39.79,2661
Lafayette C.,564,39.68,2646
U. Texas of the Permian Basin,565,39.57,2637
Quinnipiac U.,566,39.46,2577
Black Hills State U.,567,39.36,2552
U. Wisconsin-Green Bay,568,39.25,2506
Pittsburg State U.,569,39.14,2490
"U. Illinois, Springfield",570,39.04,2453
Virginia Military Institute,571,38.93,2440
Calvin U.,572,38.82,2414
State U. New York at Buffalo State U.,573,38.71,2398
"California State U., Stanislaus",574,38.61,2391
Seattle Pacific U.,575,38.5,2378
"U. Alaska, Southeast",576,38.39,2376
Florida Polytechnic U.,577,38.29,2372
John Carroll U.,578,38.18,2362
Savannah State U.,579,38.07,2356
Mount Holyoke C.,580,37.96,2333
U. Pacific,581,37.86,2295
Touro U.,582,37.75,2263
Western Carolina U.,583,37.64,2254
Morehead State U.,584,37.54,2253
"Union C., Schenectady",585,37.43,2184
Utah Valley U.,586,37.32,2178
Stockton U.,587,37.21,2173
Manhattan C.,588,37.11,2168
Colorado C.,589,37.0,2148
"U. Puerto Rico, Cayey",590,36.89,2111
Alaska Pacific U.,591,36.79,2066
California Baptist U.,592,36.68,2051
Emerson C.,593,36.57,2046
Bates C.,594,36.46,2023
U.S. Coast Guard Academy,595,36.36,2011
Ferris State U.,596,36.25,1989
"U. Michigan, Flint",597,36.14,1984
Lipscomb U.,598,36.04,1950
Nevada State U.,599,35.93,1948
Hobart and William Smith Colleges,600,35.82,1944
Marshall B. Ketchum U.,601,35.71,1932
Macalester C.,601,35.71,1932
U. Hartford,603,35.5,1931
"SUNY, C. Brockport, The",604,35.39,1926
"U. Puerto Rico, Humacao",605,35.29,1897
Northern Michigan U.,606,35.18,1889
Oberlin C.,607,35.07,1876
Southern Utah U.,608,34.96,1875
Erikson Institute,609,34.86,1835
Heidelberg U.,610,34.75,1820
Norwich U.,611,34.64,1819
"Colorado State U., Pueblo",612,34.54,1816
"State U. New York at Geneseo, The",613,34.43,1805
Franklin W. Olin C. Engineering,614,34.32,1800
Claflin U.,615,34.21,1783
U. North Georgia,616,34.11,1761
United Tribes Technical C.,617,34.0,1756
Babson C.,618,33.89,1751
Biola U.,619,33.79,1743
Lincoln Memorial U.,620,33.68,1726
Andrews U.,621,33.57,1709
Dickinson C.,622,33.46,1698
Texas A&M U.-Central Texas,623,33.36,1692
Pratt Institute,624,33.25,1674
U. Portland,625,33.14,1660
Arcadia U.,626,33.04,1623
U. Wisconsin-Platteville,627,32.93,1609
"U. Ana G. Mendez, Gurabo",628,32.82,1599
"Saint John's U., Collegeville",629,32.71,1597
"U. South Carolina, Aiken",630,32.61,1582
Hartford Seminary,631,32.5,1572
Liberty U.,632,32.39,1570
Northland C.,633,32.29,1558
"Pennsylvania State U., The, Altoona",634,32.18,1536
St. Edward's U.,635,32.07,1518
Eckerd C.,636,31.96,1515
C. Saint Benedict,637,31.86,1500
"U. Hawaii Community Colleges, Maui C.",638,31.75,1491
"York C., City U. New York",639,31.64,1485
St. Olaf C.,640,31.54,1480
West Virginia School of Osteopathic Medicine,641,31.43,1470
Drake U.,642,31.32,1466
Saint Mary's U. Minnesota,642,31.32,1466
Willamette U.,644,31.11,1465
Kenyon C.,645,31.0,1464
National U. Natural Medicine,646,30.89,1459
"State U. New York, The, Plattsburgh",647,30.79,1457
"U. Virginia's C., Wise",648,30.68,1445
New C. Florida,649,30.57,1435
"U. Maine, The, Farmington",649,30.57,1435
"Wheaton C., Wheaton",649,30.57,1435
Adelphi U.,652,30.25,1420
Eastern Kentucky U.,653,30.14,1418
U. Scranton,654,30.04,1412
Eastern Connecticut State U.,655,29.93,1403
Roosevelt U.,656,29.82,1398
Robert Morris U.,657,29.71,1371
"U. North Carolina, General Administration",658,29.61,1362
Scripps C.,659,29.5,1333
Graduate School of the Stowers Institute for Medical Research,660,29.39,1313
"Loyola U., Maryland",661,29.29,1296
U. Mary Washington,662,29.18,1291
Butler U.,663,29.07,1282
"C. Wooster, The",664,28.96,1261
Radford U.,665,28.86,1258
Metropolitan State U. Denver,666,28.75,1248
Midwestern State U.,666,28.75,1248
Bluefield State C.,668,28.54,1242
Hult International Business School,669,28.43,1234
U. Puget Sound,670,28.32,1217
Eastern Illinois U.,671,28.21,1201
State U. New York Polytechnic Institute,671,28.21,1201
Weber State U.,673,28.0,1195
California Lutheran U.,673,28.0,1195
Western New England U.,675,27.79,1187
American Samoa Community C.,676,27.68,1178
"State U. New York at Potsdam, The",677,27.57,1177
"Pennsylvania State U., The, Berks",678,27.46,1173
Concord U.,679,27.36,1158
"U. South Carolina, Beaufort",680,27.25,1155
Roanoke C.,681,27.14,1154
Illinois C. Optometry,682,27.04,1149
Juniata C.,683,26.93,1147
Gettysburg C.,684,26.82,1138
"SUNY, Cobleskill",685,26.71,1135
La Salle U.,686,26.61,1125
Indiana State U.,687,26.5,1120
"Montana State U., Billings",688,26.39,1113
Southern C. Optometry,689,26.29,1110
Nicholls State U.,690,26.18,1096
Albany C. Pharmacy and Health Sciences,691,26.07,1090
Denison U.,692,25.96,1078
Connecticut C.,693,25.86,1071
"Louisiana State U., Shreveport",694,25.75,1070
Elizabeth City State U.,695,25.64,1066
"Indiana U., South Bend",696,25.54,1045
"CUNY, Medgar Evers C.",697,25.43,1023
Bradley U.,698,25.32,1022
Aaniiih Nakoda C.,699,25.21,1019
Southern Oregon U.,700,25.11,1015
Gonzaga U.,701,25.0,1003
Lake Erie C. Osteopathic Medicine,702,24.89,1000
Ursinus C.,703,24.79,994
St. Bonaventure U.,704,24.68,985
High Point U.,705,24.57,982
"U. Tampa, The",706,24.46,966
Stetson U.,707,24.36,941
"Loyola U., New Orleans",708,24.25,936
Central Connecticut State U.,709,24.14,934
Bridgewater State U.,710,24.04,925
Johnson C. Smith U.,711,23.93,921
Plymouth State U.,712,23.82,918
Augsburg U.,713,23.71,916
"U. Minnesota, Rochester",714,23.61,911
Valparaiso U.,715,23.5,908
Minerva U.,716,23.39,906
"U. North Texas, Dallas",717,23.29,903
Northeastern State U.,718,23.18,900
U. Wisconsin-Stout,719,23.07,894
Angelo State U.,720,22.96,886
U. Central Missouri,721,22.86,875
Wilkes U.,722,22.75,871
Geisinger Commonwealth School of Medicine,723,22.64,869
"U. Puerto Rico, Ponce",724,22.54,866
West Liberty U.,725,22.43,860
Niagara U.,725,22.43,860
Kalamazoo C.,727,22.21,844
Gustavus Adolphus C.,727,22.21,844
Xavier U.,729,22.0,831
Baldwin-Wallace U.,730,21.89,829
Keene State C.,731,21.79,824
"Augustana U., Sioux Falls",732,21.68,817
Gannon U.,733,21.57,814
St. Catherine U.,734,21.46,813
Iona C.,735,21.36,808
Simmons U.,736,21.25,804
C. Holy Cross,737,21.14,803
William Paterson U.,738,21.04,798
Southwestern U.,739,20.93,796
Lawrence U.,739,20.93,796
Northwestern State U. Louisiana,741,20.71,793
Alverno C.,742,20.61,790
Polytechnic U. Puerto Rico,743,20.5,787
Fairleigh Dickinson U.,744,20.39,779
Saint Michael's C.,745,20.29,778
Ithaca C.,746,20.18,774
"Auburn U., Montgomery",747,20.07,771
San Juan Bautista School of Medicine,748,19.96,759
Fort Hays State U.,749,19.86,755
Sewanee: The U. South,750,19.75,754
Rollins C.,751,19.64,753
Siena C.,752,19.54,752
Francis Marion U.,753,19.43,750
"Eastern New Mexico U., Portales",754,19.32,747
"Widener U., Chester",754,19.32,747
"Palmer C. Chiropractic, Davenport",754,19.32,747
Bethune-Cookman U.,757,19.0,734
Regis U.,757,19.0,734
U. Bridgeport,759,18.79,726
Coe C.,760,18.68,720
"Pennsylvania State U., The, Abington",761,18.57,716
Pennsylvania Western U.,762,18.46,708
Allegheny C.,762,18.46,708
"Pennsylvania State U., The, Great Valley School of Graduate Professional Studies",764,18.25,707
Point Loma Nazarene U.,765,18.14,705
"Touro U., Nevada",766,18.04,704
Indiana Wesleyan U.,767,17.93,703
U. West Georgia,768,17.82,700
"Evergreen State C., The",769,17.71,695
Utica C.,770,17.61,682
Susquehanna U.,771,17.5,670
Lincoln U. Commonwealth of Pennsylvania,771,17.5,670
Ohio Wesleyan U.,773,17.29,663
Berry C.,774,17.18,662
Salve Regina U.,775,17.07,658
State U. New York at Old Westbury,776,16.96,653
East Central U.,777,16.86,647
"SUNY, Farmingdale State C.",778,16.75,637
Kansas City U. Medicine and Biosciences,779,16.64,633
Salish Kootenai C.,780,16.54,623
Saint Francis U.,781,16.43,617
Georgia Gwinnett C.,782,16.32,610
Oakwood U.,783,16.21,594
Lake Forest C.,784,16.11,593
Fairmont State U.,785,16.0,586
Oglala Lakota C.,786,15.89,583
"U. Minnesota, Morris",787,15.79,577
Barry U.,788,15.68,571
Ramapo C. New Jersey,789,15.57,569
Emporia State U.,790,15.46,557
Whitworth U.,791,15.36,551
Jacksonville State U.,792,15.25,550
St. Norbert C.,793,15.14,549
Truman State U.,794,15.04,548
Southwest C. Naturopathic Medicine and Health Sciences,795,14.93,541
Columbus State U.,796,14.82,540
Truckee Meadows Community C.,797,14.71,533
Colorado Mesa U.,798,14.61,526
Salus U.,799,14.5,524
Dordt U.,800,14.39,521
Elmhurst U.,800,14.39,521
Rider U.,802,14.18,512
Canisius U.,802,14.18,512
Luther C.,804,13.96,509
Southwestern Oklahoma State U.,805,13.86,502
"U. Puerto Rico, Aguadilla",806,13.75,501
Palo Alto U.,806,13.75,501
McNeese State U.,808,13.54,494
Ouachita Baptist U.,809,13.43,490
U. Houston-Victoria,810,13.32,489
Wabash C.,811,13.21,486
Western Connecticut State U.,811,13.21,486
"U. Minnesota, Crookston",813,13.0,484
Grambling State U.,814,12.89,478
Moravian C.,815,12.79,474
Hendrix C.,816,12.68,468
Earlham C.,817,12.57,463
Arkansas Tech U.,817,12.57,463
Massachusetts C. Pharmacy and Health Sciences,819,12.36,461
Lewis-Clark State C.,820,12.25,459
U. Wisconsin-Whitewater,820,12.25,459
Benedictine U.,822,12.04,452
Bryant U.,823,11.93,451
State U. New York at New Paltz,824,11.82,446
Shaw U.,825,11.71,445
Northwest Nazarene U.,826,11.61,443
Kutztown U. Pennsylvania,827,11.5,440
"Wheaton C., Norton",828,11.39,432
Pitzer C.,829,11.29,429
Cornell C.,830,11.18,426
Northern New Mexico C.,831,11.07,418
Pacific Lutheran U.,832,10.96,415
Westmont C.,832,10.96,415
"U. Puerto Rico, Arecibo",834,10.75,414
Central Wyoming C.,835,10.64,409
St. Mary's C. Maryland,836,10.54,407
Muhlenberg C.,837,10.43,406
"Minnesota State U., Moorhead",838,10.32,405
"U. Ana G. Mendez, Carolina",839,10.21,403
Southern California U. Health Sciences,840,10.11,401
"Augustana C., Rock Island",841,10.0,396
Carlos Albizu U.,842,9.89,394
A.T. Still U.,843,9.79,393
Bryn Athyn C.,844,9.68,392
Stonehill C.,845,9.57,391
Clayton State U.,846,9.46,388
American C. of Financial Services,847,9.36,387
Coker C.,847,9.36,387
State U. New York C. at Cortland,849,9.14,384
Fond du Lac Tribal and Community C.,850,9.04,373
Northwest Missouri State U.,850,9.04,373
Minot State U.,852,8.82,371
DePauw U.,853,8.71,361
"Indiana U., New Albany",854,8.61,357
Converse C.,855,8.5,353
Molloy C.,856,8.39,350
Wittenberg U.,857,8.29,348
Transylvania U.,858,8.18,345
Life Chiropractic C.-West,859,8.07,344
Slippery Rock U. Pennsylvania,860,7.96,342
Doane U.,861,7.86,327
Austin C.,862,7.75,317
"Indiana U., Gary",863,7.64,312
Arkansas Colleges of Health Education,863,7.64,312
Gordon C.,865,7.43,310
"U. Maine, Augusta",866,7.32,308
Valdosta State U.,866,7.32,308
Hamline U.,868,7.11,306
Marist C.,869,7.0,304
"Pontifical Catholic U. Puerto Rico, Ponce",869,7.0,304
Commonwealth U. of Pennsylvania,871,6.79,301
Coppin State U.,871,6.79,301
"West Virginia U., Institute of Technology",873,6.57,300
"Pennsylvania State U., The, Wilkes-Barre",874,6.46,296
Rhode Island C.,875,6.36,292
National U. Health Sciences,876,6.25,288
"Alabama C., Osteopathic Medicine",877,6.14,284
Taylor U.,877,6.14,284
"Indiana U., Kokomo",879,5.93,280
Dickinson State U.,879,5.93,280
Jacksonville U.,881,5.71,275
California U. Science and Medicine,882,5.61,271
Centre C.,883,5.5,263
"State U. New York, Oneonta",884,5.39,262
Bard C.,885,5.29,259
Southern Arkansas U.,886,5.18,256
Pacific Northwest U. Health Sciences,887,5.07,251
Washington and Lee U.,888,4.96,250
Longwood U.,889,4.86,245
Mayville State U.,890,4.75,242
"U. Tennessee, The, Martin",891,4.64,234
Rogers State U.,892,4.54,233
Fuller Theological Seminary,893,4.43,228
U. North Alabama,894,4.32,224
"Concordia C., Moorhead",895,4.21,223
"Indiana U., Richmond",895,4.21,223
Life U.,897,4.0,217
Millersville U. Pennsylvania,898,3.89,213
"Universidad Ana G. Mendez, Cupey",899,3.79,212
"State U. New York, Purchase C.",899,3.79,212
Nueta Hidatsa Sahnish C.,901,3.57,205
Delta State U.,901,3.57,205
Metropolitan State U.,903,3.36,202
Oral Roberts U.,904,3.25,200
U. Evansville,904,3.25,200
Whittier C.,906,3.04,198
"Montana State U., Havre",907,2.93,197
U. Southern Indiana,908,2.82,196
LeTourneau U.,908,2.82,196
"California State U., system office",910,2.61,190
Maryland Institute C. Art,911,2.5,188
U. Lynchburg,912,2.39,187
C. Southern Nevada,912,2.39,187
Carthage C.,914,2.18,179
Eastern Mennonite U.,915,2.07,169
Northern State U.,916,1.96,166
Agnes Scott C.,917,1.86,164
"Concordia U., Wisconsin",918,1.75,163
Goucher C.,919,1.64,162
Antioch U.,920,1.54,161
Manchester C.,920,1.54,161
"Cooper Union for the Advancement of Science and Art, The",922,1.32,152
Mississippi Valley State U.,923,1.21,150
William Carey U.,923,1.21,150
California State U. Maritime Academy,923,1.21,150
Fitchburg State U.,0,0.0,0
Jarvis Christian C.,0,0.0,0
"Johnson and Wales U., Providence",0,0.0,0
Albion C.,0,0.0,0
Alderson-Broaddus U.,0,0.0,0
Barnes-Jewish C. Goldfarb School of Nursing,0,0.0,0
Bastyr U.,0,0.0,0
Beloit C.,0,0.0,0
Bethany Global U.,0,0.0,0
Bloomsburg U. Pennsylvania,0,0.0,0
Burrell C. of Osteopathic Medicine,0,0.0,0
Castleton U.,0,0.0,0
Cheyney U. Pennsylvania,0,0.0,0
Claremont School of Theology,0,0.0,0
Clarion U. Pennsylvania,0,0.0,0
D'Youville U.,0,0.0,0
Daemen C.,0,0.0,0
Dakota Wesleyan U.,0,0.0,0
Delaware Valley U.,0,0.0,0
Dominican U.,0,0.0,0
Dominican U. California,0,0.0,0
Eastern Oregon U.,0,0.0,0
Ferrum C.,0,0.0,0
Fielding Graduate U.,0,0.0,0
Framingham State U.,0,0.0,0
Frostburg State U.,0,0.0,0
Future Generations Graduate School,0,0.0,0
Governors State U.,0,0.0,0
Hampshire C.,0,0.0,0
Harding U.,0,0.0,0
Illinois Wesleyan U.,0,0.0,0
International Technological U.,0,0.0,0
John Brown U.,0,0.0,0
Johnson State C.,0,0.0,0
Keiser U.,0,0.0,0
Lasell C.,0,0.0,0
Le Moyne C.,0,0.0,0
Linfield C.,0,0.0,0
Logan U.,0,0.0,0
Loras C.,0,0.0,0
Maharishi U. Management,0,0.0,0
Maine Maritime Academy,0,0.0,0
Maryland U. of Integrative Health,0,0.0,0
McMurry U.,0,0.0,0
Mercyhurst U.,0,0.0,0
Messiah C.,0,0.0,0
Middle Georgia State U.,0,0.0,0
Mills C.,0,0.0,0
Millsaps C.,0,0.0,0
Missouri Western State U.,0,0.0,0
New Jersey City U.,0,0.0,0
New York Law School,0,0.0,0
North American University,0,0.0,0
North Central C.,0,0.0,0
Northeast C. of Health Sciences,0,0.0,0
Northern Vermont U.,0,0.0,0
Ohio Northern U.,0,0.0,0
Paine C.,0,0.0,0
Parker U.,0,0.0,0
"Pennsylvania State U., The, Beaver",0,0.0,0
"Pennsylvania State U., The, Greater Allegheny",0,0.0,0
"Pennsylvania State U., The, Lehigh Valley",0,0.0,0
"Pennsylvania State U., The, Media",0,0.0,0
"Pennsylvania State U., The, New Kensington",0,0.0,0
Peru State C.,0,0.0,0
Philander Smith C.,0,0.0,0
Ponce Heath Sciences U.,0,0.0,0
Prescott C.,0,0.0,0
Purdue U. Calumet,0,0.0,0
Purdue U. North Central,0,0.0,0
Relay Graduate School of Education,0,0.0,0
Rose-Hulman Institute of Technology,0,0.0,0
Russell Sage C.,0,0.0,0
"SUNY, Morrisville State C. Agriculture and Technology",0,0.0,0
Saint Martin's U.,0,0.0,0
Sarah Lawrence C.,0,0.0,0
Shepherd U.,0,0.0,0
Sherman C. Straight Chiropractic,0,0.0,0
Shippensburg U. Pennsylvania,0,0.0,0
Sinte Gleska U.,0,0.0,0
Southeast Missouri State U.,0,0.0,0
"Southern U. and A&M C., New Orleans",0,0.0,0
"St. Mary's U., San Antonio",0,0.0,0
"St. Thomas U., Miami Gardens",0,0.0,0
"State U. New York at Fredonia, The",0,0.0,0
"State U. New York, Delhi",0,0.0,0
"State U. New York, Empire State C.",0,0.0,0
"State U. New York, Maritime C.",0,0.0,0
"State U. New York, System Office",0,0.0,0
Sweet Briar C.,0,0.0,0
Texas A&M U.-Texarkana,0,0.0,0
Texas Chiropractic C. Foundation Inc.,0,0.0,0
Texas Lutheran U.,0,0.0,0
Turtle Mountain Community C.,0,0.0,0
"U. California, Hastings C. Law",0,0.0,0
U. Charleston,0,0.0,0
U. Colorado Denver and Anschutz Medical Campus,0,0.0,0
U. Dallas,0,0.0,0
"U. Houston, System Administration",0,0.0,0
U. Maine at Machias,0,0.0,0
"U. Maine, Presque Isle",0,0.0,0
"U. Maryland, Baltimore",0,0.0,0
"U. Maryland, College Park",0,0.0,0
"U. Massachusetts, Central Office",0,0.0,0
"U. Nebraska, Central Administration",0,0.0,0
"U. Nebraska, Lincoln",0,0.0,0
"U. Nebraska, Medical Center",0,0.0,0
"U. North Carolina, The, Pembroke",0,0.0,0
"U. Oklahoma, The, Tulsa",0,0.0,0
"U. Pittsburgh, Bradford",0,0.0,0
U. Redlands,0,0.0,0
"U. Sciences, Philadelphia",0,0.0,0
"U. South Florida, Saint Petersburg",0,0.0,0
"U. South Florida, Sarasota-Manatee",0,0.0,0
"U. Tennessee, The",0,0.0,0
U. Texas Pan American,0,0.0,0
"U. Texas, The, Brownsville",0,0.0,0
"U. West Alabama, The",0,0.0,0
U. Western States,0,0.0,0
U. Wisconsin-Parkside,0,0.0,0
Union Graduate C.,0,0.0,0
Valley City State U.,0,0.0,0
Washburn U.,0,0.0,0
Western Colorado U.,0,0.0,0
Western Nevada C.,0,0.0,0
Western New Mexico U.,0,0.0,0
Western Oregon U.,0,0.0,0
